public_id,caption_gt,category,caption_pred
1586693321,High school student removing baked cookies from oven in home economics class,misc,a woman in apron putting cookies in an oven
1587140861,Close up of a leaf floating on water,outdoors,a close up of a leaf with water droplets
1868714276,A Businessman and businesswoman discussing a report at the table counter in a telemarketing office,indoors,a man and woman sitting at a table in an office
1578904325,Portrait of young African jumping and hanging from a basketball ring,outdoors,a man is dunking a basketball in the air
1587990356,Woman writing a diary or journal relaxing at home,misc,a woman sitting on a couch with a pen and paper
1586724545,Couple Playing On Seesaw In Park Together,outdoors,a man and woman are having fun on a seesaw
1855878098,Family of four flying a kite on the beach on an overcast windy day,misc,a family running on the beach with a kite
1587839045,Close up of wallet with Euros sticking out,misc,a wallet with money inside
1587811604,Misty meadow with trees at dusk,outdoors,a field with trees and fog at sunrise
1572544511,A surfer standing on a beach,misc,a shirtless man holding a surfboard on the beach
1766908251,Couple hugging and smiling at each other in meadow,outdoors,a shirtless man and woman hugging in a field
1864650971,Family of four sitting on a sofa in the living room looking at the camera and cheering with their arms raised,indoors,a family sitting on an orange couch with a bowl of popcorn
216580118,Close up of tranquil field of blooming buttercups,outdoors,wild flowers in a field
1663683863,Teenage boys drinking from bottle in gym,indoors,two young men smiling while holding water bottles
1851487418,Wide shot of a container ship travelling at the sea,office,two cargo ships in the ocean
1571579141,A couple on a boat preparing to go scuba diving,outdoors,a man and woman in wetsuits are adjusting each other's wetsuits
1586721830,Sun Shining Through Over Autumn Trees Surrounding Lake,outdoors,the sun shines brightly over a lake in the forest
1297781495,Female high school students performing experiment in chemistry lab,indoors,a young girl is holding a test tube with blue liquid
1725719318,Young girl doing homework at kitchen table mother and sister in background,indoors,a woman is helping a girl with homework
1304265968,Mature man surprising woman with gift at outdoor restaurant table,food,an older couple enjoying a meal outside
1578907034,Male and female business colleagues chatting in office building,misc,two business people walking in an office
1590329510,Sunset in desert Al Ain Emirate of Abu Dhabi United Arab Emirates,outdoors,the castle of person in oman
1586672588,Senior woman wearing fur hat in winter day,outdoors,a woman wearing a hat and scarf in the snow
1857297395,Vertical Close up shot of a young woman studying with a laptop in the library,electronics,a woman is sitting at a desk with a laptop
1590314078,Close up of hiker s feet Kleinwalsertal Allgau Germany,outdoors,a person wearing hiking shoes on a mountain trail
1586691008,Portrait confident quality control worker at production line in cheese processing plant,misc,a woman in a white hat standing in front of a conveyor belt
1840647995,A happy production manager holding and showing the final packed and labelled box picked up from the assembly line in a large factory,outdoors,a man holding a box in a factory
1860726674,Elevated view of a glamorous woman alighting from a car at night,electronics,a woman in a white dress sitting in the open door of a car
1572486326,A young woman practicing yoga,misc,a woman in white pants and a green top is doing yoga
1590329693,Capitol and flag of Cuba Capitolio Havana Cuba,outdoors,the cuban flag flies in front of a building
1590360719,Father and daughter playing at beach,outdoors,a man and a young girl playing on the beach
1844731661,Vertical shot of a senior engineer in a reflector vest standing with a young engineer in the control room of a nuclear power station,electronics,two men in a control room looking at a computer
1862083157,Wide shot of a Beekeeper checking honey on the beehive frame in the field full of flowers,outdoors,a beekeeper in a bee suit is holding a hive
1572396350,Cutting tree with chainsaw Latsch Vinschgau Trentino Alto Adige South Tyrol Italy,outdoors,a person is cutting a log with a chainsaw
1864651172,A couple with two kids and their grandparents collect autumn leaves in the garden as the kids throw up the leaves in the air,misc,a family playing in the leaves
1663817609,portrait of teenage girlfriends with cucumber slices over eyes,indoors,three women in bath robes eating cucumbers
1571690498,Vineyards at Jenins Grisons Switzerland,outdoors,a vineyard with a mountain in the background
1840563596,Vertical shot of a technician holding a tray of aluminum products in a hi tech manufacturing plant,office,a man holding a tray of white plastic in a factory
1859181224,Extreme wide shot of an engineer inspecting the wing of a passenger jet at a hangar,office,a worker is working on a green airplane in a hangar
1590363344,Trees along beach Port Launay Marine National Park Mahe Seychelles,outdoors,the lagoon at the lagoon at the lagoon at the lagoon at the lagoon
1586666900,Sunset and clouds view through window over the wing and jet engine of a passenger plane,outdoors,the view from an airplane window at sunset
1590061625,A middle aged woman holding a pot of moisturising cream,indoors,a woman is holding a jar of cream
1846771241,A sports scientist and a senior man are discussing some data on a digital tablet in a laboratory,indoors,two men on a bike with a tablet in front of them
1590363419,Close up of woman smoking cigarette,outdoors,a woman is smoking a cigarette in front of her face
1578933038,A young businessman in a waiting room reading a newspaper,misc,a man in a suit sitting on a bench in an airport
1866001004,Horizontal rear view of a joyous mature couple on a road trip with the woman driving on a sunny day,outdoors,an older couple driving in a convertible car
1817410236,Horizontal profile shot of a young couple sitting beside windsurfers on sandy beach with copy space,outdoors,a man and woman sit on the beach with their surfboards
1670341265,Mature man pouring wine for friends dining at outdoor restaurant table,food,a group of people sitting at a table with drinks
1859334704,A wide shot of a sunrise in a blue sky over a beautiful valley covered with fog,outdoors,the sun is setting over the clouds in this photo
1590079862,Baton passing between relay runners,outdoors,a woman is holding a baton while running on a track
1587990869,Laboratory mice in glass tank,indoors,a group of white mice are standing on a glass table
1868714531,Close up of a scientist in clean suit with selective focus examining the silicon wafer under a microscope in a special laboratory,office,a man in a lab coat and mask is looking at a disk
1578208673,A young woman wearing a winter coat with a fur hood looking up,misc,a woman in a white coat with fur
1297800443,Portrait of grandmother with grandchildren in autumn countryside,outdoors,an older woman and two children standing in a field
1873296878,Wide shot of an art teacher watching middle school students paint during an art class,indoors,a group of young children in a classroom with a teacher
1869317195,Technician kneeling in the aisle of a server room and replacing servers in a cabinet,electronics,a man kneeling in a server room with a laptop
1590025187,A businessman in an office three colleagues in background having a discussion,office,a man in a pink shirt is looking off to the side
1590329714,Roofs of Havana view to Catedral San Cristobal de la Habana Havana Cuba,outdoors,an old church with a roof and tiled roof
1578939155,Woman crying wiping tears away with a tissue,misc,a woman is wiping her nose with a tissue
1588017308,Low angle view of colonnade Saint Peters Basilica Rome Italy,outdoors,the vatican city is a city in italy
1855882661,Portrait of a young couple holding hands in a park looking back and posing for the camera,outdoors,a young couple holding hands in front of a house
1588016240,Cars driving on highway in snow with lights on,outdoors,cars driving on a snowy road in the snow
1878871268,A vertical front view of a Smiling school teacher with blonde hair holding a pencil while watching and supervising her students in school laboratory,indoors,a teacher and a student in a classroom
1277232758,Businessmen shaking hands by partially built house,office,two men shaking hands in front of a house under construction
1710413957,Birds eye view of businessman leaving office,office,a man in a suit is walking through an open door
1586683718,Close up Of Senior Man Watering Flowers In Beautiful Cottage Garden,misc,a man watering flowers in a garden
1844769257,Portrait of smiling young man wearing headphones while his friends are standing behind him,electronics,a man with headphones and a woman with a tablet
216108530,Clouds in blue sky over wheat field,outdoors,a field of wheat under a blue sky
1297775348,Man carrying smiling woman through dunes on summer beach vacation,outdoors,a man and woman are holding each other in the air
1590060182,Four teenage friends watching television,misc,a group of friends sitting on a couch watching tv
1585878731,calving glacier in Magdalenafjorden Spitsbergen Svalbard Norway Europe arctic summer,outdoors,a large glacier with ice and snow
1590044063,Two teenage girls in a bedroom,misc,two women sitting on a bed taking a selfie
1843607267,Horizontal over the shoulder shot of a businessman using hands free device while working on a laptop at an airport with copy space,office,a man wearing a headset and a headset looking at a computer screen
1859349074,A portrait shot of a teacher looking at a young boy working with a wrench on a prototype in a vocational school,office,a man and woman working on a machine
1590357704,Cathedral of Our Blessed Lady Towers of Frauenkirche Munich Germany,outdoors,the domes of the cathedral of the person
1586673386,Young woman searching for avalanche victims in snow,outdoors,a person using a shovel to dig through the snow
1590341156,Hispanic woman holding Argentine flag,misc,woman holding an argentina flag
1590209309,Scenic view of Peitlerkofel in autumn Dolomite Alps South Tyrol Italy,outdoors,a mountain with a cabin in the foreground
1840555148,Wide angle shot of Businessman and workers talking among large bags of recycled plastic pellets in warehouse,office,workers in a warehouse with large bags of sand
1873351028,Water taxi and moored boat on the sunny Grand Canal in front of San Marco Campanile and architectural buildings in Venice Italy,misc,a boat docked at the pier in venice
1862126105,A Close up shot of a student's hand writing exam at his desk,indoors,a person is writing on a piece of paper
1869041345,Vertical shot of a senior couple standing beside a parked car and taking a selfie with a digital camera,outdoors,an older couple taking a photo with their car
1839589223,Overhead shot of pre school children at nursery making craft with scissors and colored paper at table,indoors,children are making paper crafts at a table
1588012256,Close up of businessman cheering with telephone,electronics,a man in a business suit is sitting at a computer
1578217538,Portrait of a mid adult woman holding a dried leaf,indoors,a woman holding a piece of wood in front of her face
1862083229,Portrait of happy Technician standing with crossed arms in a solar panel factory,misc,a woman in blue shirt and gloves standing in a factory
1572527852,Copper Canyon near Posada Barracas Chihuahua Mexico,outdoors,the canyon is very narrow and rocky
1844194451,Close up of person holding three brown eggs and whisk with a pan on gas in background,misc,a woman holding two eggs and a whisk
1572524360,Family wrapped in blanket on beach,outdoors,a family on the beach with a blanket
1570236713,Thanksgiving decoration Munich Bavaria Germany,food,a large pile of fresh fruit and vegetables
1576774370,Male florist or gardener pruning shrubs,outdoors,a man in an apron is trimming plants outside
1570162253,Church of La Digue Island Seychelles,outdoors,a church with a large clock tower and a blue sky
1878782306,Vertical shot of a young girl in a swimming suit standing under a beach umbrella on a sunny day with the ocean in the background,outdoors,a woman in a bikini stands under an umbrella on the beach
1908116561,Sea fishing from beach Offset,outdoors,a person walking on the beach near the water
1571358260,View to St Martin Latsch Vinschgau Trentino Alto Adige South Tyrol Italy,outdoors,a mountain range with trees and a house in the foreground
1587842159,Harbor with boats in Germany,outdoors,boats are docked in the water near a town
1878778766,Couple looking at closed sign stuck on a garage while standing next to their broken down car,outdoors,a man and woman standing in front of a closed garage
1843605638,A blond woman patient getting her eyes checked by an ophthalmologist using an ophthalmoscope,medical,a man and woman are looking at each other while an ophthalmologist is examining their eyes
1862063180,Multi generation family running over a wooden jetty to jump into the lake,outdoors,a group of people running on a dock
1855886123,Vertical shot of a businessman doing a handstand on board desk in a meeting room as colleagues watch on,office,a man doing a handstand in a meeting room
1570388225,Bayon temple Angkor Thom Siem Reap Cambodia,outdoors,the ruins of angkor wat in cambodia
1590047606,Business people traveling waiting in airport or station,office,a man in a suit and tie standing next to a suitcase
1844196263,Butcher in uniform behind the counter selling meat to customer,food,a man in a hat and apron standing behind a counter with meat on display
1581270515,Girl in school art class holding paintbrush at camera smiling at camera,indoors,a little girl holding a green paintbrush
1571356433,Exterior of Chiesa di Sant Anastasia Verona Veneto Italy,outdoors,"the church of person in the city of siena, italy"
1588012475,A young woman sitting at a table,misc,a woman sitting at a table with a cup of coffee and a plate of food
1862121581,A man and woman in formal business suit looking into a digital tablet while sitting at a table in the lobby,indoors,two business people sitting at a table with a tablet
1859178506,Low angle wide shot of an engineer working on a passenger jet in a hangar,office,a man is working on an airplane in a hangar
1277214128,Mature woman standing in organic garden with basket of vegetables,food,a woman is holding a basket of vegetables in her garden
1588010177,Woman using eye drops outdoors,medical,a woman is putting a piece of cotton in her eye
1865999603,Horizontal shot of a couple with their two children running towards the parked car on a cliff top overlooking the ocean smile at the camera,outdoors,a family running towards a car on a hill overlooking the ocean
1747434198,Rolls of assorted Euro coins with businessmen figurines,office,miniature people are on top of colorful rolls of paper
1590349982,Detail of father and daughters legs,outdoors,a man and woman standing on a dock with their bare feet
1571580044,A young girl eating an ice cream,misc,a little girl is eating an ice cream cone
1844764175,Vertical portrait of a happy joint family sitting on a wooden bridge over a stream,outdoors,a family sitting on a bridge over a stream
1572524273,Family lying together on beach,outdoors,a family laying on the beach with their arms around each other
1587982256,Close up of cherries on tree,outdoors,a group of cherries hanging from a tree
1844769341,Young guy piggybacking a beautiful girl in the city,electronics,a man and woman are holding a tablet in the city
1572524321,Family running together on beach,outdoors,a family running on the beach
1846771271,Portrait of a sports scientist monitoring exercising data of a cyclist working out on an exercise bike in a laboratory,indoors,a man on a bike in a room with a computer
1585873994,Alphorns Zermatt Valais Switzerland Europe,outdoors,three wooden pipes lined up on the street
1859342279,A Close up shot of a technician looking up while holding a blueprint with a van and large solar panels in background,outdoors,a man in a hard hat holding a blueprint in front of a van with solar panels
1590102626,Young man with a laptop sitting on a bed,misc,a shirtless man sitting on a bed with a laptop
1587141251,Still life of a bunch of chilies,misc,a close up of a bunch of red and green peppers
1840648592,Side view of an IT technician working in the aisle of a data center room in selective focus facing direct warm light with a row of glowing network server cabinets softly blurred in the foreground,office,a man standing in a server room with blue lights
1572529421,Cactus at Urique Canyon Copper Canyon Chihuahua Mexico,outdoors,a cactus plant on the edge of the mountain
1851407603,Horizontal waist up profile shot of two jubilant mature couples drinking champagne outdoors on a balcony during sunset with copy space,outdoors,a group of people in formal attire toasting champagne
1590102629,A businessman ringing a bell for attention,office,a man in a white shirt and red tie is holding a phone
1571665529,Portrait boy with catcher's mitt,outdoors,a young boy is holding a baseball glove
1570160810,Houses in Stone Town part of Zanzibar City Zanzibar Tanzania Africa,outdoors,a narrow alley with a balcony and a balcony
1587990338,A couple relaxing by a pool,outdoors,a man and woman sitting on a chaise lounge by the pool
1840562621,Medium wide shot of a worker standing in the aisle of a manufacturing plant with a broom and looking at the camera,office,a man in a factory with a broom
1277238185,Young woman in underwear eating healthy apple snack,food,a woman smiles while holding an apple
1590034352,Elegant young woman in a white silk dress or wrap,misc,a woman with a white dress and a black hair bun
1766918223,Teenage boys balancing on pier,outdoors,three boys jumping into the water from a dock
1586730020,Silhouette Of Man Standing On Mountain Peak At Sunset,outdoors,a man standing on a rock at sunset
1868723474,A medium shot of a happy family talking with each other while riding bicycles in a wildflower field,misc,family riding bikes in a meadow of wildflowers
1578902414,A young woman on the beach,misc,a woman in a bikini is standing on the beach
1869314615,Silhouette of an elderly couple sitting on a bench with their arms around each other against the sunset over the ocean,outdoors,a couple sitting on a bench at sunset
1586704859,Portrait Of IT Technician In Data Centre Standing By Servers,office,a man in a plaid shirt and glasses standing in a server room
1304263382,Mature couple on road trip in classic convertible car on country road,outdoors,a couple in a convertible car
1586682932,Judge Awarding Trophy At Flower Show,misc,a man and woman are standing next to each other holding flowers
1859237117,A front view of two smart architects reviewing blueprints under the brightly glowing sun at a construction site,office,two men in hard hats and suits looking at plans on a roof
1277231360,Underwater view of woman wearing goggles in swimming pool at camera,outdoors,a woman swimming underwater in a blue suit
1847201867,A cute girl standing on the top of a snow mountain wearing winter clothes while smiling and adjusting her sunglasses with her family sitting in the background,outdoors,a family in the snow
1846749416,A senior surgeon in selective focus performing an operation with his teammates in the foreground in an operation suite,medical,a group of surgeons in an operating room
1747435521,Rolls of assorted Euro coins with businessmen figurines,office,miniature people sitting on top of colorful rolls of paper
1813179956,Reflection of businessman sitting on floor with laptop looking out of the window as seen from rear,office,a person sitting in front of a large window with a laptop
1588011629,Businessmen walking out of elevator,office,two men in suits walking down an elevator
1570340051,View over Ramsau to Reiter Alpe and Hochkalter near Berchtesgaden Bavaria Germany,outdoors,a village in the mountains with green grass and trees
1587833729,Ancient roman stone street Ancient Ostia Rome Italy,outdoors,a cobblestone road in the rain with trees and benches
1859204651,Vertical shot of a family having a picnic in the countryside,outdoors,a family having a picnic in the park
1586693309,High school student removing baked cookies from oven in home economics class,misc,a woman is holding a tray of cookies out of an oven
1581280190,Smiling mother sitting on exercise ball with baby daughter at camera,electronics,a woman and child sitting on an exercise ball
1587031385,View of a wind engine and a power poll against blue sky St Poelten Austria,outdoors,a wind turbine and power lines in a field
1567876817,Fishing net and boat in harbor of Marsalforn Gozo Malta,misc,colorful boats in the harbor
1578924734,A senior couple holding hands in autumn time,misc,senior couple walking in the autumn park
1277235599,Businesswoman at head of boardroom conference table,office,a woman in a business suit sitting at a conference table
1844728907,Vertical shot of a senior engineer speaking on the telephone at the control desk in the control room of a nuclear power station,electronics,a man in a white shirt and tie sitting at a desk with several computers
1586682935,Senior Male Judging Chrysanthemums At Flower Show,misc,an older man is looking at some flowers
1859347388,A low angle shot of clouds floating in a blue sky,outdoors,a blue sky with white clouds
1860726761,Side view of a businessman working with a laptop on a filing cabinet in the desert,electronics,a man in a suit and tie sits on a chair in the desert
1852935113,Vertical ground level shot of a young woman carrying out plumbing work under the kitchen sink smiles at the camera with copy space,indoors,a woman kneeling on the floor in front of a kitchen sink
1570552856,Cocoa beans Gurupa Amazon River Brazil,indoors,a close up of a pile of nuts
1665809852,Woman standing in front of man laying on bed,indoors,a woman in red high heels standing on a bed
1670340083,Girl on home sofa listening to music and playing video game using MP3 player and console,electronics,a young girl sitting on a couch with headphones and a cell phone
1572537380,A man splashing in the sea,outdoors,man in blue shorts jumping in the water
1590222707,Couple looking in shop window,misc,a man and woman looking at a butterfly on a window
1663598228,Futuristic power plant created in 3D 3D artwork 3D rendering 3D illustration showcasing a factory that is forward thinking and looking to the future demonstrating how fossil fuels are evolving,office,industry logo with lights and buildings in the background
1572390227,Highland cattle on farm Seefeld Bavaria Germany,outdoors,a brown cow standing in the grass near trees
1590061697,A young woman sitting on a bed with a laptop,misc,a woman sitting on a bed with a laptop
1297780790,Doctor in white coat taking female patients blood pressure,medical,a doctor is examining a patient on a bed
1865943800,Vertical shot of a family relaxing on the deck of a sailing boat out at sea with the father standing at the helm,outdoors,a family on a sailboat
1587138344,A businessman and a businesswoman shaking hands on a deal,office,three business people shaking hands at a meeting
1567881305,Diverse group of people standing together and cupping ears,misc,a group of people standing in a line
1840559729,Wide angle shot of Workers controlling robotic machinery lifting steel fencing in manufacturing plant,office,a factory with robots and machines in it
1590161879,Harbor with boats and buildings in background Marciana Marina Elba Tuscany Italy,outdoors,boats are docked in the harbor
1297781582,Engineers discussing plans standing next to large solar panels,outdoors,three people standing in front of solar panels
1865999657,Vertical shot of two boys playing with an inflatable ball at the beach on a sunny day with copy space,misc,two children playing with a ball on the beach
1865943647,Horizontal shot of a father loading camping equipment into a car boot on a driveway with children sitting in a parked car,outdoors,a man and woman standing next to a car with their luggage
1264213472,Close up of whipped cream on cup of hot chocolate on cafe table with focus on foreground,indoors,a white cup with whipped cream and mint leaves
1571668373,Portrait of a young woman,outdoors,a woman with curly hair is smiling
1578932864,A group of four business colleagues holding an informal meeting,misc,a group of people sitting around a table
1587642905,Seawater at the rear of a rry,outdoors,the ocean waves are very rough and the water is very blue
1590351095,Real Cartuja de Valldemossa Mallorca Spain,outdoors,the church of person
217361663,Detail of water rapids,outdoors,water flowing over rocks in a stream
1586728001,Mother Washing Baby Son In Plastic Bath On Nursery Table,indoors,a woman is washing her baby in a bath tub
1585868900,Seaside with Cruiser in the background Hornsund Spitsbergen Svalbard Norway Europe,outdoors,a ship in the distance on a foggy day
1587988841,Businessman reaching for water glasses in conference room,office,a man in a suit is holding a glass of water
1590363338,Sunset over rock formations at beach Anse Takamaka Mahe Seychelles,outdoors,the sun sets behind the rocks on the beach
1766928984,Group of people practicing yoga Kleinwalsertal Allgau Germany,outdoors,a group of people doing yoga on a hill
1839581621,Beach umbrella on a tropical beach Umbrella and a beautiful sand beach with clear water and blue sky on a sunny day,outdoors,three straw umbrellas on the beach
1878695720,Teacher and female high school students assembling a bicycle in a woodworking class,indoors,a group of people working on a bicycle
1571579078,Boy in baseball gear sitting on a bench,outdoors,a young boy crouches down in a baseball field
1590073406,Mother hugging son in baseball gear,outdoors,a woman and a boy hugging in the park
1840559672,Wide shot of smiling businessman with clipboard in front of steel tubes in warehouse,office,a man in a suit standing in front of stacks of steel
1663818179,Teenage friends performing press ups together in gym,indoors,three girls doing push ups in a gym
1851485408,Medium shot of a man carrying a woman on his back while walking along the shore of a sunny beach,outdoors,a man carrying a woman on his back at the beach
1655856812,Young boy frowning well lit,outdoors,a young boy with an angry expression
217368554,French Flag on Top of Soccer Ball,outdoors,soccer ball on the field with flag
1588025585,A senior woman in profile detail of nose mouth and chin,indoors,a woman with a neck and a small neck
1859144684,Vertical shot of a woman leaning on a mountain bike in the woods and smiling at the camera,outdoors,a woman in pink shirt and black shorts is riding her bike
1590056591,A mother applying sunscreen on her daughter,misc,a woman and a little girl sitting on the beach
1587849554,Cars driving in the rain,outdoors,a car driving down a wet road in the rain
1590070313,A young woman looking at a pregnancy test,stocky_setting,a woman is holding a thermometer in her hand
1277367311,Portrait of grandmother granddaughter at home smiling at camera sitting on doorstep and hugging,outdoors,a woman and a girl sitting on the steps of a house
1590361265,Close up of one hundred Euro banknotes,misc,euro banknotes on the table
1590183797,Close up of Vanilla Silique plant Lifou Island Loyalty Islands New Caledonia Overseas Territory of France,outdoors,the flowers are growing on the plant
1866091556,Businessman and gardeners with crate of tomatoes shaking hands in a greenhouse,food,two men and a woman standing in a greenhouse
1844728997,Medium shot of an elderly man in hat holding a flower and painting in a meadow full of wildflowers,outdoors,an older man is painting in a field of wildflowers
217371068,Lone Creek Waterfall near Sabie Mpumalanga South Africa,outdoors,a waterfall is shown in the middle of a river
1878692834,High school student completing his homework in the study hall,indoors,a group of students sitting at a table
1297774418,Young couple having piggyback ride on winter beach smiling at camera,outdoors,a man and woman are posing on the beach
1570365638,A ploughed field in Autumn Milborne Port Sherborne Dorset UK,outdoors,a plowed field with a farm in the background
1843605494,Horizontal shot of middle aged hiker man tying the laces on his shoe during a holiday backpacking in the forest,outdoors,a man tying his hiking boots on a tree
1570388285,Pre Rup Angkor Siem Reap Cambodia,outdoors,the ruins of angkor wat in cambodia
1587060059,People looking at computer screen architect model in foreground,office,a man and woman looking at a computer screen
1567888433,Lychee trees with ripe fruit Nosy Be Madagascar,food,a tree with red fruit on it
1588002695,Two young girls at a lemonade stand,misc,two young girls sitting in front of a sign that says lemonade
1868716490,A portrait shot of a senior farmer smiling at camera while kneeling down with a sack of potatoes in a sunny rural field with tractors in background,misc,a man kneeling in the field with potatoes
1587990152,Woman holding seed in tweezers,indoors,a woman holding a pair of scissors with a stem
1840647806,American flag waving in front with skyscraper in background,outdoors,the american flag is flying in front of a tall building
1586652284,Senior women at home relaxing and pampering themselves,indoors,a woman wearing a mask sits on a couch in a living room
1587136481,View of a man hitting a golf ball out of a bunker on a golf course,outdoors,a man hitting a golf ball into a bunker
1873340672,Railway crossing the road while the vehicles wait for it to pass by,outdoors,a train crossing the road at a crossing
1587851087,View of castle in Prague,outdoors,the statue of the saint of the city of prague
216096473,Fishing rod on beach,outdoors,a fishing reel on a pole on the beach
1851471974,Wide shot of a couple flying a kite with their children and elderly parents running in the background at a sunny beach,outdoors,a family flying a kite on the beach
1586673278,Portrait of young woman holding colorful tulips on winter day in mountains,outdoors,a woman holding a bouquet of tulips in the snow
1766919177,Young couple on lake with man pointing,outdoors,a man and woman in a boat pointing to something
1873425416,A medium shot of a businessman looking at a laptop while drinking coffee in airport lounge,electronics,a man in a suit and tie sitting at a table with a laptop
1859331758,A medium shot of a nurse checking a patient's blood pressure in a hospital room,medical,a nurse checking the blood pressure of a patient
1570537094,Exterior of Basilica Nossa Senhora de Nazare Belem Brazil,outdoors,the front of a church with a large white building
1878869633,A young adult Gym teacher in a school gymnasium demonstrating rope climbing while the students raising their hands in excitement with an intent to volunteer,indoors,a man is teaching children how to climb on a gym wall
1840563473,Portrait of an businesswoman smiling at the camera holding a digital tablet with colleagues in the background in a manufacturing plant,electronics,a woman in a business suit holding a tablet
1585870481,Mature woman relaxing in chair on veranda,outdoors,an older woman sitting in a hammock on a porch
1587983462,A woman walking in the desert holding a bunch of balloons,misc,woman walking on the beach with blue balloons
1576745900,An elderly woman playing cards,misc,an older woman smiles while holding playing cards
1716618329,Man swinging in park on sunny day,outdoors,a man in a white shirt is sitting on a swing
216586112,Trees and field in snow covered winter landscape,outdoors,a snowy field with trees and blue sky
1766920431,Sisters playing with lip gloss,indoors,a woman and a little girl are smiling at each other
1587038573,Children in front of fireplace,misc,two children laying on a rug in front of a fireplace
1586693147,Portrait smiling middle school student with digital tablet in study hall,misc,two girls in school uniforms sitting at a table
1869318137,Tractor with a straw baling machine at a rural field,office,a tractor is working in a field of wheat
1587982880,Close up of two men toasting with wine at restaurant,food,two people toasting with wine glasses
1587996977,Low angle view of wine bottle and wine glass,outdoors,a glass of white wine sitting on a table
1578932831,A group of four business colleagues holding an informal meeting,misc,people sitting around a table in an office
1578927338,A group of work colleagues sitting at a table having a meeting,electronics,business people sitting around a table in an office
1570354577,A plane coming into land,outdoors,a plane flying over a building with trees in the background
1878688754,Wide shot of a technician checking the wires in the data center holding a laptop,electronics,a man is working on a computer in a server room
1865895140,Friends celebrating and toasting wine glasses over a lunch table and a woman smiling with focus on the wine glasses,indoors,a couple toasting with wine glasses
1564940417,Two men doing hand stands,outdoors,two men doing handstands on the grass in a park
1665809801,High angle view of woman pulling petals off flower,indoors,a woman sitting on a bed with pink flowers
1572482039,A young girl using a mobile phone,misc,a girl smiles while talking on her cell phone
1572381359,At the End of Yoho National Park Valley British Columbia Canada,outdoors,a dirt path leads to a river and mountains
1572516008,Brightly colored flowers against white background,indoors,a group of colorful flowers floating in water
1572477389,Cropped portrait of young woman looking upwards,misc,a woman with short hair and a white shirt
1859347385,Rooftops of idyllic village Bourdeilles Dordogne France,outdoors,the view from the top of the chateau
1710448877,Woman playing golf on a sunny day,misc,a woman is putting a golf ball on the green
